filing_date,ticker,company,insider_name,insider_role,transaction_code,shares,price_per_share,total_value,sic,sector,adsh,cik_issuer,cik_filer
2026-03-27,LFT,"Lument Finance Trust, Inc.",HOULIHAN WILLIAM A,Other,P,15000.0,1.29,19350.0,6798,XLRE,0001185292-26-000003,1547546,1185292
2026-03-27,PPTA,PERPETUA RESOURCES CORP.,Malmen Jeffrey L,Director,,0.0,0.0,0.0,1040,XLB,0001104659-26-036301,1526243,1445756
2026-03-27,ACCO,ACCO BRANDS Corp,BURTON JOSEPH B,Director,,0.0,0.0,0.0,2780,Other,0000712034-26-000041,712034,1535505
2026-03-27,BKV,BKV Corp,Tameron David,Chief Financial Officer,S,0.0,0.0,0.0,1311,XLE,0001628280-26-021760,1838406,1954214
2026-03-27,GETY,"Getty Images Holdings, Inc.",Peters Craig Warren,Other,S,0.0,0.0,0.0,7389,XLI,0001214659-26-003913,1898496,1939000
2026-03-27,AMRX,"Amneal Pharmaceuticals, Inc.",Patel Chirag K.,Director,,0.0,0.0,0.0,2834,XLV,0001628280-26-021742,1723128,1738701
2026-03-27,GKOS,GLAUKOS Corp,Thurman Alex R.,Other,S,0.0,0.0,0.0,3841,XLV,0001920061-26-000006,1192448,1920061
2026-03-27,ESTA,ESTABLISHMENT LABS HOLDINGS INC.,Chacon Quiros Juan Jose,Director,S,0.0,0.0,0.0,3842,Other,0001742429-26-000009,1688757,1742429
2026-03-27,NASDAQ:RMR,RMR GROUP INC.,Jordan Matthew P.,Director,A,0.0,0.0,0.0,8742,XLI,0001104659-26-036295,1644378,1657779
2026-03-27,WYNN,Hospitality Headquarters Inc,FERTITTA TILMAN J,10% Owner,,0.0,0.0,0.0,7011,XLY,0001104659-26-036160,1319392,1080301
2026-03-27,CORT,CORCEPT THERAPEUTICS INC,BELANOFF JOSEPH K,Other,S,0.0,0.0,0.0,2834,XLV,0001193125-26-129143,1088856,1286199
2026-03-27,DDI,"DoubleDown Interactive Co., Ltd.",CHUNG JAESUNG,Other,,0.0,0.0,0.0,7374,XLC,0001193125-26-129072,1799567,2118894
2026-03-27,CNO,"CNO Financial Group, Inc.",Bhojwani Gary C.,Director,F,0.0,0.0,0.0,6321,XLF,0001614708-26-000010,1224608,1614708
2026-03-27,FMNB,FARMERS NATIONAL BANC CORP /OH/,Varischetti Nicholas D,Director,P,73000.0,12.97,946810.0,6022,XLF,0001437749-26-010045,709337,1629980
2026-03-27,TM,TOYOTA MOTOR CORP/,Okamoto Shigeaki,Director,A,0.0,0.0,0.0,3711,XLI,0000947871-26-000361,1094517,2123580
2026-03-27,BTBT,"Bit Digital, Inc",Zhu Justin,VP of Finance & CAO,M,0.0,0.0,0.0,6199,XLF,0001213900-26-035849,1710350,2082678
2026-03-27,LGND,LIGAND PHARMACEUTICALS INC,Davis Todd C,Director,A,0.0,0.0,0.0,2834,XLV,0002001011-26-000033,886163,1392029
2026-03-27,SBUX,STARBUCKS CORP,SERVITJE DANIEL,Director,A,0.0,0.0,0.0,5810,Other,0000829224-26-000052,829224,2008191
2026-03-27,SBUX,STARBUCKS CORP,Moyo Dambisa F,Director,A,0.0,0.0,0.0,5810,Other,0000829224-26-000049,829224,1656418
2026-03-27,STC,STEWART INFORMATION SERVICES CORP,Swed Ryan M.,Group President,M,0.0,0.0,0.0,6361,XLF,0001628280-26-021829,94344,2049706
2026-03-27,HQY,"HEALTHEQUITY, INC.",Gathright Michael,Other,A,0.0,0.0,0.0,7389,XLI,0002076763-26-000002,1428336,2076763
2026-03-27,WSM,WILLIAMS SONOMA INC,Brooks Jeremy,CHIEF ACCOUNTING OFFICER,,0.0,0.0,0.0,5700,XLY,0000719955-26-000075,719955,1946897
2026-03-27,STC,STEWART INFORMATION SERVICES CORP,Hisey David C,Chief Financial Officer,M,0.0,0.0,0.0,6361,XLF,0001628280-26-021818,94344,1316682
2026-03-27,OUST,"Ouster, Inc.",Frichtl Mark,Other,M,0.0,0.0,0.0,3569,XLI,0001193125-26-129505,1816581,1847596
2026-03-27,LEGN,Legend Biotech Corp,Huang Ying,Other,S,0.0,0.0,0.0,2834,XLV,0001967360-26-000004,1801198,1967360
2026-03-27,TYRA,"Tyra Biosciences, Inc.",KAPLAN GILLA,Other,M,0.0,0.0,0.0,2834,XLV,0001193125-26-129239,1863127,1247024
